Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.00      1.77     0.00      102     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      1.77     0.00      102     0.00     0.00  char const* std::__addressof<char const>(char const&)
  0.00      1.77     0.00      102     0.00     0.00  char* std::__addressof<char>(char&)
  0.00      1.77     0.00      102     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      1.77     0.00      102     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      1.77     0.00      102     0.00     0.00  char const* std::addressof<char const>(char const&)
  0.00      1.77     0.00      102     0.00     0.00  char* std::addressof<char>(char&)
  0.00      1.77     0.00      100     0.00     0.02  Trainer::do_iteration(float*, float (*) [96], float (*) [56], float (*) [70])
  0.00      1.77     0.00      100     0.00     0.00  std::vector<SelfPlayer, std::allocator<SelfPlayer> >::operator[](unsigned long)
  0.00      1.77     0.00       99     0.00     0.02  SelfPlayer::do_iteration(float, float*, float*, float*)
  0.00      1.77     0.00       99     0.00     0.00  Game::get_to_play()
  0.00      1.77     0.00       99     0.00     0.00  Node::get_visits()
  0.00      1.77     0.00       99     0.00     0.00  Node::get_to_play()
  0.00      1.77     0.00       99     0.00     0.00  TrainMC::choose_move()
  0.00      1.77     0.00       99     0.00     0.02  TrainMC::do_iteration(float, float*, float*, float*)
  0.00      1.77     0.00       99     0.00     0.00  TrainMC::receive_evaluation(float, float*, float*)
  0.00      1.77     0.00       99     0.00     0.00  Trainer::generate()
  0.00      1.77     0.00       99     0.00     0.00  __gnu_cxx::new_allocator<unsigned int*>::deallocate(unsigned int**, unsigned long)
  0.00      1.77     0.00       99     0.00     0.00  __gnu_cxx::new_allocator<unsigned int*>::allocate(unsigned long, void const*)
  0.00      1.77     0.00       99     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator()
  0.00      1.77     0.00       99     0.00     0.00  __gnu_cxx::new_allocator<unsigned int*>::_M_max_size() const
  0.00      1.77     0.00       99     0.00     0.00  std::allocator<unsigned int>::allocator()
  0.00      1.77     0.00       99     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      1.77     0.00       99     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_Deque_impl::_Deque_impl()
  0.00      1.77     0.00       99     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_Deque_impl::~_Deque_impl()
  0.00      1.77     0.00       99     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_allocate_map(unsigned long)
